NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO
AA0002;2025-12-31;22:00:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.589357;-46.5252456;VILA PRIMAVERA;Avenida CapitAo-mor Pero de GOis;41º D.P. VILA RICA;DEL.SEC.8º SAO MATEUS;C;N;12.0;2025.0
AA5846;2026-01-01;18:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.5471937;-46.6396488;REPÚBLICA;Rua Coronel Xavier de Toledo;03º D.P. CAMPOS ELISEOS;DEL.SEC.1º CENTRO;T;S;1.0;2026.0
AB3101;2026-01-01;02:20:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Saúde;-23.59415699;-46.64359815;VILA MARIANA;RUA NAPOLEAO DE BARROS;16º D.P. VILA CLEMENTINO;DEL.SEC.2º SUL;C;N;1.0;2026.0
AB4588;2025-12-28;;TENTATIVA DE HOMICIDIO;FeminicIdio;Pela manhã;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;22º D.P. SAO MIGUEL PTA;DEL.SEC.7º ITAQUERA;T;N;12.0;2025.0
AB7842;2026-01-03;03:50:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Favela;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;T;S;1.0;2026.0
AB8622;2026-01-03;05:15:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.46831091;-46.63327121;MANDAQUI;RUA JOAO DE MOTA PREGO;38º D.P. VILA AMALIA;DEL.SEC.4º NORTE;T;S;1.0;2026.0
AC2447;2026-01-03;14:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.48159804;-46.58082875;VILA MEDEIROS;AVENIDA JARDIM JAPAO;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;T;S;1.0;2026.0
AC2447;2026-01-03;14:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.48159804;-46.58082875;VILA MEDEIROS;AVENIDA JARDIM JAPAO;39º D.P. VILA GUSTAVO;DEL.SEC.4º NORTE;T;S;1.0;2026.0
AC6590;2026-01-03;23:47:00;HOMICIDIO DOLOSO;FeminicIdio;;Via Pública;-23.56218809;-46.63004997;LIBERDADE;RUA DOS TAPES;06º D.P. CAMBUCI;DEL.SEC.1º CENTRO;C;N;1.0;2026.0
AC7501;2026-01-04;03:05:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.4524157;-46.673744;JARDIM PERI;Avenida Inajar de Souza;72º D.P. VILA PENTEADO;DEL.SEC.4º NORTE;C;N;1.0;2026.0
AC7828;2026-01-04;09:10:00;HOMICIDIO DOLOSO;HomicIdio (art. 121);;Via Pública;-23.68603007;-46.79689175;CAPAO REDONDO;RUA LEONIDAS BUSI;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;N;1.0;2026.0
AC8606;2026-01-04;08:59:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;T;N;1.0;2026.0
AC8606;2026-01-04;08:59:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;T;N;1.0;2026.0
AC8606;2026-01-04;08:59:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;T;N;1.0;2026.0
AD0183;2026-01-04;13:30:00;TENTATIVA DE HOMICIDIO;FeminicIdio;;Saúde;-23.47515427;-46.69850326;FREGUESIA DO O;PRAÇA LUIZA MAHIN;45º D.P. V BRASILANDIA;DEL.SEC.4º NORTE;T;N;1.0;2026.0
AD0783;2026-01-04;15:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.598174;-46.735971;VILA SONIA;RUA DIAS VIEIRA;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;T;N;1.0;2026.0
AD5857;2026-01-05;08:20:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;101º D.P. JDIM IMBUIAS;DEL.SEC.6º SANTO AMARO;T;N;1.0;2026.0
AE5195;2026-01-04;09:00:00;TENTATIVA DE HOMICIDIO;HomicIdio (art. 121);;Via Pública;-23.56634905;-46.76500007;RIO PEQUENO;RUA AMARANTE DO MARANHAO;51º D.P. RIO PEQUENO;DEL.SEC.3º OESTE;T;N;1.0;2026.0
AE6586;2026-01-04;;HOMICIDIO DOLOSO;HomicIdio (art. 121);A noite;Via Pública;-23.4681559;-46.5773585;JARDIM MODELO;Travessa TomAs Palma;73º D.P. JACANA;DEL.SEC.4º NORTE;C;N;1.0;2026.0
