NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO;TURNO;FIM_DE_SEMANA;VIA_PUBLICA;CRIME_DOLOSO
GS0341;2026-05-02;21:40:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Comércio e Serviços;-23.5931537;-46.6421734;VILA CLEMENTINO;Rua Capitão Macedo;36º D.P. VILA MARIANA;DEL.SEC.2º SUL;T;N;5.0;2026.0;noite;1;0;0
GS0901;2026-05-03;01:15:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5881273;-46.5866323;QUINTA DA PAINEIRA;praça bejetuba;56º D.P. VILA ALPINA;DEL.SEC.5º LESTE;T;N;5.0;2026.0;madrugada;1;1;0
GS1565;2026-05-03;03:40:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;98º D.P. JARDIM MIRIAM;DEL.SEC.6º SANTO AMARO;T;N;5.0;2026.0;madrugada;1;0;0
GS4018;2026-05-03;03:00:07;TENTATIVA DE HOMICIDIO;Feminicídio;;Via Pública;-23.4720565;-46.7021384;FREGUESIA DO Ó;Avenida Tomás Rabêlo e Silva;45º D.P. V BRASILANDIA;DEL.SEC.4º NORTE;T;N;5.0;2026.0;madrugada;1;1;0
GS6680;2026-05-03;16:46:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5416953;-46.6096552;BRÁS;Rua Doutor Costa Valente;08º D.P. BRAS;DEL.SEC.1º CENTRO;T;S;5.0;2026.0;tarde;1;1;0
GS8372;2026-05-04;00:00:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.64963998;-46.77160626;CAMPO LIMPO;RUA LANGANES;37º D.P. CAMPO LIMPO;DEL.SEC.3º OESTE;C;N;5.0;2026.0;madrugada;0;1;1
GT3675;2026-05-04;10:30:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Repartição Pública;-23.53058538;-46.64303258;SANTA CECILIA;ALAMEDA CLEVELAND;77º D.P. SANTA CECILIA;DEL.SEC.1º CENTRO;T;N;5.0;2026.0;manha;0;0;0
GU0246;2026-05-04;14:15:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Condomínio Comercial;-23.578138;-46.5230876;PARQUE SANTO EDUARDO;Rua Lourenço da Silva Araújo e Amazonas;41º D.P. VILA RICA;DEL.SEC.8º SAO MATEUS;T;N;5.0;2026.0;tarde;0;0;0
GU1495;2026-05-04;15:00:00;TENTATIVA DE HOMICIDIO;Feminicídio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;102º D.P. SOCORRO;DEL.SEC.6º SANTO AMARO;T;N;5.0;2026.0;tarde;0;0;0
GU4386;2026-05-04;15:00:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;T;S;5.0;2026.0;tarde;0;0;0
GU5475;2026-05-04;19:45:05;TENTATIVA DE HOMICIDIO;Feminicídio;;Condomínio Residencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;50º D.P. ITAIM PAULISTA;DEL.SEC.7º ITAQUERA;T;N;5.0;2026.0;noite;0;0;0
GU8917;2026-05-05;08:30:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5531261;-46.6550384;CERQUEIRA CÉSAR;Rua Augusta;04º D.P. CONSOLAÇÃO;DEL.SEC.1º CENTRO;T;N;5.0;2026.0;manha;0;1;0
GX5054;2026-05-06;13:15:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.47801944;-46.67740697;FREGUESIA DO O;RUA PROFESSOR BUENO DOS REIS;28º D.P. FREGUESIA DO O;DEL.SEC.4º NORTE;T;N;5.0;2026.0;tarde;0;1;0
GX8573;2026-05-06;18:00:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.6847989;-46.7147333;JARDIM TRES MARIAS;Avenida Atlântica;48º D.P. CIDADE DUTRA;DEL.SEC.6º SANTO AMARO;C;N;5.0;2026.0;noite;0;1;1
GZ5507;2026-05-07;17:30:00;HOMICIDIO DOLOSO;Feminicídio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;21º D.P. VILA MATILDE;DEL.SEC.5º LESTE;C;S;5.0;2026.0;tarde;0;0;1
GZ5833;2026-05-07;20:00:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Comércio e Serviços;-23.59612518;-46.61219693;IPIRANGA;RUA GAMA LOBO;17º D.P. DOUTOR ALDO GALIANO;DEL.SEC.2º SUL;T;N;5.0;2026.0;noite;0;0;0
GZ7238;2026-05-07;21:30:00;HOMICIDIO DOLOSO;Feminicídio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;74º D.P. PARADA TAIPAS;DEL.SEC.4º NORTE;C;N;5.0;2026.0;noite;0;0;1
GZ7895;2026-05-08;03:10:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Favela;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;65º D.P. ARTUR ALVIM;DEL.SEC.7º ITAQUERA;T;N;5.0;2026.0;madrugada;0;0;0
GZ8038;2026-05-08;04:40:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5073451;-46.4835076;JARDIM COTINHA;Avenida São Miguel;63º D.P. VILA JACUI;DEL.SEC.7º ITAQUERA;T;S;5.0;2026.0;madrugada;0;1;0
GZ8038;2026-05-08;04:40:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5073451;-46.4835076;JARDIM COTINHA;Avenida São Miguel;63º D.P. VILA JACUI;DEL.SEC.7º ITAQUERA;T;S;5.0;2026.0;madrugada;0;1;0
HB7763;2026-05-09;10:50:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;22º D.P. SAO MIGUEL PTA;DEL.SEC.7º ITAQUERA;T;S;5.0;2026.0;manha;1;0;0
HB9629;2026-05-09;07:00:33;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;81º D.P. BELEM;DEL.SEC.5º LESTE;T;N;5.0;2026.0;manha;1;0;0
HC1656;2026-05-09;15:50:00;LATROCINIO;Roubo (art. 157);;Via Pública;-23.6274375;-46.7166272;RETIRO MORUMBI;Marginal Pinheiros;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;C;N;5.0;2026.0;tarde;1;1;1
HC3604;2026-05-09;20:10:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.670217;-46.76406502;CAPAO REDONDO;RUA COMENDADOR ANTUNES DOS SANTOS;92º D.P. PQ. SANTO ANTONIO;DEL.SEC.6º SANTO AMARO;C;S;5.0;2026.0;noite;1;1;1
HD9979;2026-05-09;;LESAO CORPORAL SEGUIDA DE MORTE;Morte suspeita;A noite;Saúde;-23.5715272;-46.5900713;PARQUE DA MOOCA;Rua Juventus;18º D.P. ALTO DA MOOCA;DEL.SEC.5º LESTE;C;N;5.0;2026.0;desconhecido;1;0;0
HE0456;2026-05-11;12:30:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5790565;-46.7459387;JARDIM PINHEIROS;Avenida Engenheiro Heitor Antônio Eiras Garcia;51º D.P. RIO PEQUENO;DEL.SEC.3º OESTE;T;S;5.0;2026.0;tarde;0;1;0
HE0520;2026-05-11;13:30:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.4758187;-46.4178859;JARDIM HELENA;Rua Recife;59º D.P. JARDIM DOS IPES;DEL.SEC.7º ITAQUERA;C;S;5.0;2026.0;tarde;0;1;1
HF9528;2026-05-12;13:14:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;75º D.P. JARDIM ARPOADOR;DEL.SEC.3º OESTE;T;S;5.0;2026.0;tarde;0;0;0
HG0790;2026-05-02;;TENTATIVA DE HOMICIDIO;Feminicídio;De madrugada;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;T;N;5.0;2026.0;desconhecido;1;0;0
HG6190;2026-05-13;04:18:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;35º D.P. JABAQUARA;DEL.SEC.2º SUL;C;N;5.0;2026.0;madrugada;0;0;1
HH3621;2026-05-12;23:00:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;46º D.P. PERUS;DEL.SEC.3º OESTE;T;N;5.0;2026.0;noite;0;0;0
HH7162;2026-05-13;14:37:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.6112707;-46.6175971;JARDIM DA SAÚDE;Avenida do Cursino;16º D.P. VILA CLEMENTINO;DEL.SEC.2º SUL;T;N;5.0;2026.0;tarde;0;1;0
HH7787;2026-05-13;13:21:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Favela;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;56º D.P. VILA ALPINA;DEL.SEC.5º LESTE;T;N;5.0;2026.0;tarde;0;0;0
HI4949;2026-05-14;08:30:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.4961158;-46.5216985;VILA SANTO HENRIQUE;Via Parque;24º D.P. PONTE RASA;DEL.SEC.7º ITAQUERA;C;N;5.0;2026.0;manha;0;1;1
HJ1510;2026-05-14;12:35:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.52931002;-46.60822312;PARI;RUA SANTA RITA;12º D.P. PARI;DEL.SEC.1º CENTRO;C;N;5.0;2026.0;tarde;0;1;1
HJ8697;2026-05-14;21:50:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.75723944;-46.67748466;GRAJAU;RUA TERESA FARIAS ISASSI;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;C;N;5.0;2026.0;noite;0;1;1
HJ8697;2026-05-14;21:50:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.75723944;-46.67748466;GRAJAU;RUA TERESA FARIAS ISASSI;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;T;N;5.0;2026.0;noite;0;1;0
HJ8697;2026-05-14;21:50:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.75723944;-46.67748466;GRAJAU;RUA TERESA FARIAS ISASSI;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;T;N;5.0;2026.0;noite;0;1;0
HK6849;2026-05-15;12:55:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.56995705;-46.54073225;VILA FORMOSA;RUA ALMIRANTE SILVADO;58º D.P. VILA FORMOSA;DEL.SEC.5º LESTE;C;N;5.0;2026.0;tarde;0;1;1
HL6460;2026-05-16;05:31:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5048624;-46.690714;VILA ALBERTINA;Avenida Nossa Senhora do Ó;28º D.P. FREGUESIA DO O;DEL.SEC.4º NORTE;T;N;5.0;2026.0;madrugada;1;1;0
HL9675;2026-05-16;07:04:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Saúde;-23.5318898;-46.5595554;JARDIM JARAGUA (ITAIM PAULISTA);Avenida Marechal Tito;50º D.P. ITAIM PAULISTA;DEL.SEC.7º ITAQUERA;C;N;5.0;2026.0;manha;1;0;1
HL9683;2026-05-16;12:59:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;50º D.P. ITAIM PAULISTA;DEL.SEC.7º ITAQUERA;C;S;5.0;2026.0;tarde;1;0;1
HM6153;2026-05-17;07:20:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Area não Ocupada;-23.5716209;-46.7049608;BUTANTÃ;Rua Desembargador Armando Fairbanks;51º D.P. RIO PEQUENO;DEL.SEC.3º OESTE;T;N;5.0;2026.0;manha;1;0;0
HM8619;2026-05-17;11:09:11;LESAO CORPORAL SEGUIDA DE MORTE;Morte suspeita;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;32º D.P. ITAQUERA;DEL.SEC.7º ITAQUERA;C;N;5.0;2026.0;manha;1;0;0
HN1591;2026-05-17;14:35:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Terminal/Estação;-23.50892;-46.624813;SANTANA;Avenida Cruzeiro do Sul;09º D.P. - CARANDIRU;DEL.SEC.4º NORTE;T;S;5.0;2026.0;tarde;1;0;0
HN2271;2026-05-17;19:30:00;TENTATIVA DE HOMICIDIO;Feminicídio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;66º D.P. JDIM ARICANDUVA;DEL.SEC.8º SAO MATEUS;T;N;5.0;2026.0;noite;1;0;0
HN2282;2026-05-17;20:48:00;LATROCINIO;Roubo (art. 157);;Via Pública;-23.62426769;-46.72920216;VILA ANDRADE;RUA DO SIMBOLO;89º D.P. JARDIM TABOAO;DEL.SEC.3º OESTE;C;N;5.0;2026.0;noite;1;1;1
HN2794;2026-05-16;21:05:00;TENTATIVA DE HOMICIDIO;Feminicídio;;Saúde;-23.6737503;-46.7738501;JARDIM BOA ESPERANCA;Avenida Comendador Sant'Anna;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;T;N;5.0;2026.0;noite;1;0;0
HN3208;2026-05-18;01:30:37;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5870134;-46.3879333;CIDADE TIRADENTES;Rua Um Amazonas;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;T;N;5.0;2026.0;madrugada;0;1;0
HN3208;2026-05-18;01:30:37;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.5870134;-46.3879333;CIDADE TIRADENTES;Rua Um Amazonas;54º D.P. CID. TIRADENTES;DEL.SEC.8º SAO MATEUS;T;N;5.0;2026.0;madrugada;0;1;0
HN3768;2026-05-18;07:29:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Restaurante e Afins;-23.61391357;-46.51646994;SAPOPEMBA;RUA NOVA RESENDE;70º D.P. VILA EMA;DEL.SEC.8º SAO MATEUS;T;S;5.0;2026.0;manha;0;0;0
HN3768;2026-05-18;07:29:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.61449629;-46.51678673;SAPOPEMBA;RUA CURUPIREIRA;70º D.P. VILA EMA;DEL.SEC.8º SAO MATEUS;C;S;5.0;2026.0;manha;0;1;1
HO9542;2026-05-18;21:57:00;TENTATIVA DE HOMICIDIO;Feminicídio;;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;06º D.P. CAMBUCI;DEL.SEC.1º CENTRO;T;N;5.0;2026.0;noite;0;0;0
HP3394;2026-05-19;08:41:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Condomínio Residencial;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;58º D.P. VILA FORMOSA;DEL.SEC.5º LESTE;T;S;5.0;2026.0;manha;0;0;0
