NUM_BO;DATA_OCORRENCIA_BO;HORA_OCORRENCIA_BO;NATUREZA APURADA;RUBRICA;DESC_PERIODO;DESCR_TIPOLOCAL;LATITUDE;LONGITUDE;BAIRRO;LOGRADOURO;NOME_DELEGACIA_CIRC;NOME_SECCIONAL_CIRC;FLAG_STATUS_CRIME;FLAG_FLAGRANTE;MES;ANO;TURNO;FIM_DE_SEMANA;VIA_PUBLICA;CRIME_DOLOSO
EZ5664;2026-04-01;09:41:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.61955231;-46.47441339;SAO RAFAEL;RUA CIPRIANO FUNTAN;55º D.P. PARQUE S.RAFAEL;DEL.SEC.8º SAO MATEUS;T;S;4.0;2026.0;manha;0;1;0
FA4042;2026-04-01;16:00:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Restaurante e Afins;-23.5921541;-46.6841322;VILA OLÍMPIA;Rua Ramos Batista;15º D.P. DR. LUC. H BEIGUELMAN;DEL.SEC.3º OESTE;T;S;4.0;2026.0;tarde;0;0;0
FA8569;2026-04-02;00:48:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;28º D.P. FREGUESIA DO O;DEL.SEC.4º NORTE;T;N;4.0;2026.0;madrugada;0;0;0
FC2203;2026-04-02;14:16:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Residência;;;VEDAÇAO DA DIVULGAÇAO DOS DADOS;VEDAÇAO DA DIVULGAÇAO DOS DADOS;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;T;S;4.0;2026.0;tarde;0;0;0
FC2631;2026-04-02;20:30:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.66115119;-46.72959396;JD SÃO LUIS;RUA PINHAL VELHO;92º D.P. PQ. SANTO ANTONIO;DEL.SEC.6º SANTO AMARO;C;N;4.0;2026.0;noite;0;1;1
FC4263;2026-04-03;03:21:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.4752832;-46.6857385;BRASILÂNDIA;Rua Tenório Cavalcanti;45º D.P. V BRASILANDIA;DEL.SEC.4º NORTE;C;N;4.0;2026.0;madrugada;0;1;1
FD3860;2026-04-03;20:20:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.6903988;-46.7887655;JARDIM GUARUJA;Rua Mário Totta;47º D.P. CAPAO REDONDO;DEL.SEC.6º SANTO AMARO;C;S;4.0;2026.0;noite;0;1;1
FD6342;2026-04-04;03:15:00;TENTATIVA DE HOMICIDIO;Homicídio (art. 121);;Via Pública;-23.53162567;-46.52126148;VILA MATILDE;AVENIDA CONDE DE FRONTIN;21º D.P. VILA MATILDE;DEL.SEC.5º LESTE;T;S;4.0;2026.0;madrugada;1;1;0
FE4214;2026-04-04;22:45:00;HOMICIDIO DOLOSO;Homicídio (art. 121);;Via Pública;-23.7651898;-46.671283;JARDIM SHANGRILÁ (ZONA SUL);Rua Suazilândia;85º D.P. JARDIM MIRNA;DEL.SEC.6º SANTO AMARO;C;N;4.0;2026.0;noite;1;1;1
FE4416;2026-04-04;23:30:53;HOMICIDIO DOLOSO;Homicídio (art. 121);;Saúde;-23.6136057;-46.5937772;IPIRANGA;Estrada das Lágrimas;95º D.P. HELIÓPOLIS;DEL.SEC.2º SUL;C;N;4.0;2026.0;noite;1;0;1
