total_ocorrencias,em_hotspots,precision_at_n,proporcao_area,pai,modelo,conjunto,n_pct
87,34,0.3908,0.1,3.908,KDE Jan-Mar,Validação Abr,0.1
87,30,0.3448,0.1,3.4483,Baseline Março,Validação Abr,0.1
57,27,0.4737,0.1,4.7368,KDE Jan-Mar,Teste Mai,0.1
57,23,0.4035,0.1,4.0351,Baseline Março,Teste Mai,0.1
87,53,0.6092,0.2,3.046,KDE Jan-Mar,Validação Abr,0.2
87,54,0.6207,0.2,3.1034,Baseline Março,Validação Abr,0.2
57,37,0.6491,0.2,3.2456,KDE Jan-Mar,Teste Mai,0.2
57,35,0.614,0.2,3.0702,Baseline Março,Teste Mai,0.2
87,66,0.7586,0.3,2.5287,KDE Jan-Mar,Validação Abr,0.3
87,68,0.7816,0.3,2.6054,Baseline Março,Validação Abr,0.3
57,45,0.7895,0.3,2.6316,KDE Jan-Mar,Teste Mai,0.3
57,49,0.8596,0.3,2.8655,Baseline Março,Teste Mai,0.3
