NOME_DELEGACIA_CIRC,SEMANA,ocorrencias_na_semana,lag_1_semana,lag_2_semanas,media_4_semanas,media_8_semanas,tendencia,MES,SEMANA_ANO,score_kde
01º D.P. SE,2025-10-06,0,,,,,,10,41,12800.484511021123
01º D.P. SE,2025-10-13,0,0.0,,0.0,0.0,,10,42,12800.484511021123
01º D.P. SE,2025-10-20,0,0.0,0.0,0.0,0.0,0.0,10,43,12800.484511021123
01º D.P. SE,2025-10-27,0,0.0,0.0,0.0,0.0,0.0,10,44,12800.484511021123
01º D.P. SE,2025-11-03,0,0.0,0.0,0.0,0.0,0.0,11,45,12800.484511021123
01º D.P. SE,2025-11-10,0,0.0,0.0,0.0,0.0,0.0,11,46,12800.484511021123
01º D.P. SE,2025-11-17,0,0.0,0.0,0.0,0.0,0.0,11,47,12800.484511021123
01º D.P. SE,2025-11-24,0,0.0,0.0,0.0,0.0,0.0,11,48,12800.484511021123
01º D.P. SE,2025-12-01,0,0.0,0.0,0.0,0.0,0.0,12,49,12800.484511021123
01º D.P. SE,2025-12-08,0,0.0,0.0,0.0,0.0,0.0,12,50,12800.484511021123
01º D.P. SE,2025-12-15,0,0.0,0.0,0.0,0.0,0.0,12,51,12800.484511021123
01º D.P. SE,2025-12-22,0,0.0,0.0,0.0,0.0,0.0,12,52,12800.484511021123
01º D.P. SE,2025-12-29,0,0.0,0.0,0.0,0.0,0.0,12,1,12800.484511021123
01º D.P. SE,2026-01-05,0,0.0,0.0,0.0,0.0,0.0,1,2,12800.484511021123
01º D.P. SE,2026-01-12,0,0.0,0.0,0.0,0.0,0.0,1,3,12800.484511021123
01º D.P. SE,2026-01-19,0,0.0,0.0,0.0,0.0,0.0,1,4,12800.484511021123
01º D.P. SE,2026-01-26,0,0.0,0.0,0.0,0.0,0.0,1,5,12800.484511021123
01º D.P. SE,2026-02-02,1,0.0,0.0,0.0,0.0,0.0,2,6,12800.484511021123
01º D.P. SE,2026-02-09,1,1.0,0.0,0.25,0.125,1.0,2,7,12800.484511021123
01º D.P. SE,2026-02-16,1,1.0,1.0,0.5,0.25,0.0,2,8,12800.484511021123
01º D.P. SE,2026-02-23,1,1.0,1.0,0.75,0.375,0.0,2,9,12800.484511021123
01º D.P. SE,2026-03-02,0,1.0,1.0,1.0,0.5,0.0,3,10,12800.484511021123
01º D.P. SE,2026-03-09,0,0.0,1.0,0.75,0.5,-1.0,3,11,12800.484511021123
01º D.P. SE,2026-03-16,1,0.0,0.0,0.5,0.5,0.0,3,12,12800.484511021123
01º D.P. SE,2026-03-23,0,1.0,0.0,0.5,0.625,1.0,3,13,12800.484511021123
01º D.P. SE,2026-03-30,0,0.0,1.0,0.25,0.625,-1.0,3,14,12800.484511021123
01º D.P. SE,2026-04-06,3,0.0,0.0,0.25,0.5,0.0,4,15,12800.484511021123
01º D.P. SE,2026-04-13,0,3.0,0.0,1.0,0.75,3.0,4,16,12800.484511021123
01º D.P. SE,2026-04-20,1,0.0,3.0,0.75,0.625,-3.0,4,17,12800.484511021123
01º D.P. SE,2026-04-27,0,1.0,0.0,1.0,0.625,1.0,4,18,12800.484511021123
01º D.P. SE,2026-05-04,0,0.0,1.0,1.0,0.625,-1.0,5,19,12800.484511021123
01º D.P. SE,2026-05-11,0,0.0,0.0,0.25,0.625,0.0,5,20,12800.484511021123
01º D.P. SE,2026-05-18,0,0.0,0.0,0.25,0.5,0.0,5,21,12800.484511021123
01º D.P. SE,2026-05-25,0,0.0,0.0,0.0,0.5,0.0,5,22,12800.484511021123
03º D.P. CAMPOS ELISEOS,2025-10-06,0,,,,,,10,41,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-10-13,0,0.0,,0.0,0.0,,10,42,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-10-20,0,0.0,0.0,0.0,0.0,0.0,10,43,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-10-27,0,0.0,0.0,0.0,0.0,0.0,10,44,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-11-03,0,0.0,0.0,0.0,0.0,0.0,11,45,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-11-10,0,0.0,0.0,0.0,0.0,0.0,11,46,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-11-17,0,0.0,0.0,0.0,0.0,0.0,11,47,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-11-24,0,0.0,0.0,0.0,0.0,0.0,11,48,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-12-01,0,0.0,0.0,0.0,0.0,0.0,12,49,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-12-08,0,0.0,0.0,0.0,0.0,0.0,12,50,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-12-15,0,0.0,0.0,0.0,0.0,0.0,12,51,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-12-22,0,0.0,0.0,0.0,0.0,0.0,12,52,12763.256324057656
03º D.P. CAMPOS ELISEOS,2025-12-29,1,0.0,0.0,0.0,0.0,0.0,12,1,12763.256324057656
03º D.P. CAMPOS ELISEOS,2026-01-05,0,1.0,0.0,0.25,0.125,1.0,1,2,12763.256324057656
03º D.P. CAMPOS ELISEOS,2026-01-12,1,0.0,1.0,0.25,0.125,-1.0,1,3,12763.256324057656
03º D.P. CAMPOS ELISEOS,2026-01-19,0,1.0,0.0,0.5,0.25,1.0,1,4,12763.256324057656
03º D.P. CAMPOS ELISEOS,2026-01-26,0,0.0,1.0,0.5,0.25,-1.0,1,5,12763.256324057656
03º D.P. CAMPOS ELISEOS,2026-02-02,0,0.0,0.0,0.25,0.25,0.0,2,6,12763.256324057656
03º D.P. CAMPOS ELISEOS,2026-02-09,0,0.0,0.0,0.25,0.25,0.0,2,7,12763.256324057656
